,Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
439,HARDEMAN - FAYETTE UTILITY DISTRICT,7060,Cooperative,TN,5488,0,0,0,0,540,52,594,1687,1472,956,187
440,"HARDESTY MUNICIPAL SYSTEM, TOWN OF",7065,Municipal Owned,OK,150,0,0,0,0,0,5,0,98,45,2,0
441,HARDIN NATURAL GAS SYSTEM,7075,Municipal Owned,KY,707,0,0,0,0,326,0,0,324,0,46,11
442,HARDTNER CITY GAS DEPT,7077,Municipal Owned,KS,143,0,0,0,0,0,0,134,0,0,9,0
443,HARLAN MUNICIPAL UTILITIES,7080,Municipal Owned,IA,2452,0,0,0,2245,0,0,0,0,133,37,37
444,HARRIMAN UTILITIES BOARD,7090,Municipal Owned,TN,3974,0,0,0,870,938,179,121,1468,286,112,0
445,HARRISBURG WATER & GAS DIV,7095,Municipal Owned,AR,2205,1450,0,0,0,0,0,0,191,412,152,0
446,"HARRISONBURG, VILLAGE OF",7100,Municipal Owned,LA,772,0,0,0,0,505,0,0,258,5,4,0
447,HARTSELLE UTILITIES BOARD,7110,Municipal Owned,AL,5134,0,0,0,142,251,321,489,1509,1711,673,38
448,HARTWELL GAS DEPT,7120,Municipal Owned,GA,2891,1694,0,0,0,0,0,0,0,415,745,37
449,HARVEYVILLE GAS DEPT,7125,Municipal Owned,KS,146,0,0,0,0,134,0,0,2,8,2,0
450,HASKELL PUBLIC WORKS AUTH,7130,Municipal Owned,OK,1083,0,0,0,0,0,0,0,0,0,1033,50
451,HASTINGS UTILITIES,7135,Municipal Owned,NE,9545,0,0,0,1480,1051,1359,1864,1409,1341,955,86
452,"HAVANA, TOWN OF",7155,Municipal Owned,FL,517,0,0,0,30,47,8,28,64,246,94,0
453,"HAWARDEN GAS DEPT, CITY OF",7165,Municipal Owned,IA,1198,1037,0,0,0,0,0,0,0,0,155,6
454,HAWKINS COUNTY UTILITY DIST,7170,Municipal Owned,TN,8761,0,0,0,0,601,510,2118,2598,1619,1208,107
455,"HAWKINSVILLE, CITY OF",7175,Municipal Owned,GA,1129,0,0,0,0,0,0,73,919,68,69,0
456,HAWLEY UTILITIES COMM,7180,Municipal Owned,MN,798,0,0,0,0,366,49,20,97,114,144,8
457,"HAZARD GAS CO, CITY OF",7185,Municipal Owned,KY,1578,0,0,0,0,0,1550,0,0,0,20,8
458,HAZEN NATURAL GAS CO,7190,Municipal Owned,AR,492,492,0,0,0,0,0,0,0,0,0,0
459,"HEMPHILL MUNICIPLE SYSTEM, CITY OF",7205,Municipal Owned,TX,617,0,0,0,0,38,0,563,10,6,0,0
460,"HEMPSTEAD, CITY OF",7210,Municipal Owned,TX,1750,0,0,0,0,0,0,1408,5,257,57,23
461,"HENDERSON GAS DEPT, CITY OF",7215,Municipal Owned,TN,4515,0,0,0,575,345,47,815,1185,1032,465,51
462,HENDERSON MUNICIPAL GAS,7220,Municipal Owned,KY,9213,534,2577,0,799,703,1117,474,728,985,1145,151
463,HENNING GAS DEPT,7225,Municipal Owned,TN,219,219,0,0,0,0,0,0,0,0,0,0
464,HERMANN CITY NATURAL GAS SYSTEM,7240,Municipal Owned,MO,1150,0,0,0,0,492,75,105,237,130,104,7
465,HERMAN OIL & GAS CO INC,7242,Privately Owned,PA,454,0,0,0,0,0,0,147,133,78,88,8
466,"HESSTON, CITY OF",7245,Municipal Owned,KS,1362,0,0,0,0,0,769,95,257,158,76,7
467,HIBBING PUBLIC UTILITIES COMM,7250,Municipal Owned,MN,4236,0,52,127,64,1429,438,59,792,594,563,118
468,"HICKMAN GAS DEPT, CITY OF",7255,Municipal Owned,KY,925,0,0,0,840,50,14,10,10,0,1,0
469,"HOGANSVILLE GAS SYSTEM, CITY OF",7300,Municipal Owned,GA,1037,0,0,0,0,0,0,0,0,986,50,1
470,"HOHENWALD NATURAL GAS SYSTEM, CITY OF",7310,Municipal Owned,TN,3205,0,0,0,0,1316,1177,0,0,510,176,26
471,HOLLY SPRINGS MUNICIPAL GAS,7325,Municipal Owned,MS,3323,0,0,73,30,63,103,1367,510,469,708,0
472,"HOLYOKE GAS & ELECTRIC DEPT, CITY OF",7330,Municipal Owned,MA,8428,13,352,43,505,416,326,1169,1045,1459,3006,94
473,DOMINION ENERGY WEST VIRGINIA,7348,Investor Owned,WV,113508,0,8931,4179,15410,12586,15514,14455,17546,13616,10685,586
474,"HORNBECK GAS DEPT, CITY OF",7360,Municipal Owned,LA,831,0,0,0,0,767,0,30,34,0,0,0
475,HORTON HIGHWAY UTILITY DISTRICT,7365,Municipal Owned,TN,4030,0,0,0,196,59,56,317,975,654,1524,249
476,HOWARD MUNICIPAL GAS SYSTEM,7610,Municipal Owned,KS,583,0,0,0,0,0,583,0,0,0,0,0
477,HULBERT PUBLIC WORKS AUTH,7637,Municipal Owned,OK,1724,0,0,0,0,0,1156,265,142,65,81,15
478,HUMBOLDT CITY GAS DEPT,7645,Municipal Owned,KS,981,0,0,0,0,0,0,942,26,10,3,0
479,HUMBOLDT UTILITIES - GAS DEPT,7650,Municipal Owned,TN,3902,2428,0,0,0,0,0,0,362,430,660,22
480,HUMPHREYS COUNTY UTILITY DISTRICT,7655,Municipal Owned,TN,7218,0,0,0,0,2663,572,629,1840,809,595,110
481,"HUNTINGBURG GAS SYSTEM, CITY OF",7670,Municipal Owned,IN,3840,0,0,0,789,591,287,364,670,578,510,51
482,"HUNTINGTON GAS CO, CITY OF",7680,Municipal Owned,TX,742,0,0,0,0,0,680,31,10,15,6,0
483,HUNTSVILLE GAS SYSTEM,7685,Municipal Owned,AL,57698,0,0,0,2746,10710,5767,5625,7899,10779,12495,1677
484,HUTCHINSON UTILITIES COMMISSION,7695,Municipal Owned,MN,5629,3403,0,0,0,0,0,0,789,887,499,51
485,"HUXLEY, CITY OF",7700,Municipal Owned,TX,1533,0,0,0,0,0,1189,118,89,27,97,13
486,IBERVILLE PARISH NATURAL GAS SYSTEM,8010,Municipal Owned,LA,4389,0,0,0,2133,0,0,0,833,650,680,93
487,IGNACIO MUNICIPAL GAS,8020,Municipal Owned,CO,464,0,0,0,5,0,97,0,0,110,252,0
488,ILLINOIS GAS CO,8030,Privately Owned,IL,10812,0,0,0,3,812,537,3050,4259,1301,762,88
489,INDIANA GAS CO INC,8070,Investor Owned,IN,619644,67618,981,1377,11878,39490,45455,95366,137028,104080,105281,11090
490,INDIANA NATURAL GAS CORP,8080,Investor Owned,IN,8957,0,0,0,0,2775,653,918,2583,835,1070,123
491,INDIANA UTILITIES CORP,8090,Investor Owned,IN,3699,0,0,0,0,1284,114,266,971,513,487,64
492,INTERMOUNTAIN GAS CO,8160,Investor Owned,ID,392843,0,0,0,14971,31792,30599,27483,92185,114466,70268,11079
493,ALLIANT ENERGY - INTERSTATE POWER AND LIGHT COMPANY,8170,Investor Owned,IA,214263,1468,1622,350,6764,38564,21115,23205,48261,45251,27270,393
494,IOLA MUNICIPAL GAS CO,8220,Municipal Owned,KS,2604,547,4,13,377,893,311,308,60,70,21,0
495,"IOTA GAS DEPT, TOWN OF",8230,Municipal Owned,LA,627,0,0,0,0,0,0,540,79,5,3,0
496,"ISABEL, CITY OF",8321,Municipal Owned,KS,81,0,0,0,0,0,0,80,0,0,1,0
497,ITAWAMBA INDUSTRIAL GAS CO,8326,Privately Owned,MS,4,0,0,0,0,0,4,0,0,0,0,0
498,"JACKSON, TOWN OF",9030,Municipal Owned,LA,770,206,0,0,0,0,550,0,8,0,4,2
499,JACKSON ENERGY AUTHORITY,9040,Municipal Owned,TN,32080,0,2060,2379,6,257,1655,3027,8119,6848,7411,318
500,"JACKSONVILLE WATER WORK, GAS & SEWER BOARD",9070,Municipal Owned,AL,2500,0,0,469,0,0,70,0,851,882,167,61
501,JAMESTOWN GAS SYSTEM,9100,Municipal Owned,TN,3663,0,0,0,0,444,286,595,1304,614,357,63
502,"JAMESTOWN MUNICIPAL GAS DEPT, CITY OF",9110,Municipal Owned,KS,257,0,0,0,0,251,0,0,0,0,5,1
503,JASONVILLE GAS UTILITY,9120,Municipal Owned,IN,1086,0,0,0,0,0,109,237,200,250,224,66
504,"JASPER, CITY OF",9130,Municipal Owned,FL,681,0,0,0,0,505,65,101,10,0,0,0
505,JASPER MUNICIPAL UTILITIES,9140,Municipal Owned,IN,4368,0,0,0,2000,1700,100,125,125,159,142,17
506,"JAY, TOWN OF",9160,Municipal Owned,FL,290,258,0,0,0,0,0,0,0,24,8,0
507,JAY UTILITIES AUTH,9170,Municipal Owned,OK,1072,0,0,0,0,621,200,77,104,64,6,0
508,JEFFERSON - COCKE CO UTIL DIST,9200,Municipal Owned,TN,9958,3109,0,0,0,0,2,192,3135,2100,1256,164
509,"JENA GAS SYSTEM, TOWN OF",9210,Municipal Owned,LA,1929,0,0,0,0,0,191,1620,0,19,99,0
510,"JOAQUIN, CITY OF",9245,Municipal Owned,TX,261,0,0,0,0,0,0,246,8,4,3,0
511,JOHNSON COUNTY GAS CO INC,9260,Privately Owned,KY,278,0,0,0,0,0,0,0,0,0,0,278
512,JOINTLY OWNED NATURAL GAS,9276,Municipal Owned,GA,6328,2278,0,0,0,170,145,153,896,1756,883,47
513,JOINT UTILIITIES BOARD - ALTENBURG & FROHNA,9280,Municipal Owned,MO,309,0,0,0,0,186,49,19,16,17,21,1
514,JONES CITY MUNICIPAL GAS SYSTEM,9290,Municipal Owned,OK,731,0,0,0,0,58,567,0,0,29,63,14
515,JONESBORO MUNICIPAL GAS,9300,Municipal Owned,IL,721,0,0,0,267,180,143,62,31,20,17,1
516,"JONESVILLE, TOWN OF",9310,Municipal Owned,LA,1097,0,0,0,1095,0,0,0,0,1,1,0
517,"KAPLAN GAS DEPT, CITY OF",10060,Municipal Owned,LA,1845,1837,0,0,0,0,0,0,0,0,8,0
518,KARNAK MUNICIPAL GAS UTILITY,10070,Municipal Owned,IL,296,0,0,0,270,23,0,0,1,0,2,0
519,KAW CITY MUNICIPAL GAS DEPT,10100,Municipal Owned,OK,277,0,0,0,0,0,154,82,20,16,3,2
520,"KECHI, CITY OF",10123,Municipal Owned,KS,692,0,0,0,0,84,25,131,154,131,151,16
521,KENNETT MUNICIPAL GAS SYSTEM,10156,Municipal Owned,MO,4550,3928,0,0,0,0,0,145,292,104,54,27
522,KENTWOOD NATURAL GAS SYSTEM,10180,Municipal Owned,LA,901,0,0,0,666,0,34,0,96,0,105,0
523,KEVIL NATURAL GAS SYSTEM,10210,Municipal Owned,KY,474,0,0,0,0,350,43,18,25,27,6,5
524,KEYES MUNICIPAL GAS & WATER SYSTEM,10240,Municipal Owned,OK,324,0,0,0,298,0,0,14,1,11,0,0
525,"KIEFER, CITY OF",10251,Municipal Owned,OK,534,364,0,0,0,0,0,0,0,0,170,0
526,"KINDER GAS SYSTEMS, TOWN OF",10260,Municipal Owned,LA,918,918,0,0,0,0,0,0,0,0,0,0
527,KINGS MOUNTAIN NATURAL GAS SYSTEM,10270,Municipal Owned,NC,4084,0,0,0,603,822,341,683,1169,276,168,22
528,KNOXVILLE UTILITIES BOARD,10310,Municipal Owned,TN,106716,0,0,0,18,510,4867,15566,45037,26369,12533,1816
529,"KOUNTZE MUNICIPAL GAS SYSTEM, CITY OF",10330,Municipal Owned,TX,438,0,0,188,48,48,48,54,30,0,17,5
530,KROTZ SPRINGS GAS SYSTEM,10340,Municipal Owned,LA,174,0,0,0,0,0,1,171,1,0,1,0
531,"KUTTAWA NATURAL GAS, CITY OF",10350,Municipal Owned,KY,836,0,0,0,0,574,36,26,62,76,62,0
532,LA CENTER NATURAL GAS SYSTEM,11016,Municipal Owned,KY,549,0,0,0,0,500,13,13,6,9,4,4
533,SPIRE MISSOURI INC. EAST,11032,Investor Owned,MO,622094,0,3413,2049,60566,63216,84935,77677,103216,132663,83499,10860
534,"LACYGNE GAS DEPT, CITY OF",11040,Municipal Owned,KS,513,0,0,192,0,0,309,0,0,4,7,1
535,"LAFAYETTE UTILITY APT, CITY OF",11056,Municipal Owned,GA,2641,0,0,0,6,688,506,46,221,102,1062,10
536,"LAFAYETTE GAS & UTILITIES DEPT, CITY OF",11064,Municipal Owned,TN,2617,608,0,0,0,0,67,460,691,404,357,30
537,"LAGRANGE GAS DEPT, CITY OF",11080,Municipal Owned,GA,9663,0,0,0,0,0,21,4058,2925,1752,830,77
538,LAKE APOPKA NATURAL GAS DISTRICT,11096,Municipal Owned,FL,26385,4408,0,0,0,0,0,0,2315,7861,10523,1278
539,"LAKE CITY, CITY OF",11113,Municipal Owned,FL,2091,0,0,0,0,0,0,0,1397,428,228,38
540,LAKE PARK MUNICIPAL UTILITIES,11119,Municipal Owned,IA,656,0,0,0,0,434,0,12,64,50,96,0
541,LAKE COUNTY UTIL DIST,11120,Municipal Owned,TN,3022,0,0,0,657,914,800,232,288,0,122,9
542,LAKE PARK PUBLIC UTILITIES,11128,Municipal Owned,MN,371,0,0,0,0,224,0,0,40,67,34,6
543,LAMONI MUNICIPAL UTILITIES,11184,Municipal Owned,IA,828,826,0,0,0,0,0,0,0,0,2,0
544,LANCASTER COUNTY NATURAL GAS AUTH,11192,Municipal Owned,SC,31984,0,0,0,0,0,0,0,0,13454,17365,1165
545,"LANCASTER MUNICIPAL GAS CO, CITY OF",11208,Municipal Owned,OH,14719,0,128,113,151,162,2583,2854,2069,1942,4256,461
546,"LANETT GAS DEPT, CITY OF",11216,Municipal Owned,AL,2456,2409,0,0,0,0,0,0,0,39,8,0
547,LAPEL MUNICIPAL GAS CO,11224,Municipal Owned,IN,867,0,0,0,0,0,14,300,365,84,88,16
548,"LAS CRUCES, CITY OF",11240,Municipal Owned,NM,42506,3452,844,1335,4432,2420,4861,3814,4130,5870,10651,697
549,LAS VEGAS NATURAL GAS SYSTEM,11248,Municipal Owned,NM,4979,0,0,0,0,4500,98,70,100,60,139,12
550,LAURENS COMMISSION OF PUBLIC WORKS,11264,Municipal Owned,SC,8247,0,0,0,1198,1128,126,639,2879,1078,919,280
551,SYCAMORE GAS COMPANY,11288,Privately Owned,IN,7429,221,0,0,0,694,694,1048,2206,1414,986,166
552,"LAWRENCEBURG GAS DEPT, CITY OF",11296,Municipal Owned,TN,6659,2313,0,0,0,0,0,405,2685,846,371,39
553,"LAWRENCEVILLE, CITY OF",11320,Municipal Owned,GA,50675,0,0,0,102,135,3043,6261,13619,19953,6809,753
554,"LEBANON GAS DEPT, CITY OF",11336,Municipal Owned,TN,10009,0,0,0,792,679,787,1174,2047,1890,2208,432
555,LEBO MUNICIPAL GAS SYSTEM,11344,Municipal Owned,KS,321,0,0,0,0,0,0,312,0,2,5,2
556,"LEESBURG, CITY OF",11352,Municipal Owned,FL,13285,0,0,0,0,1668,1180,1715,2373,3976,1726,647
557,LEITCHFIELD GAS SYSTEM UTILITIES,11368,Municipal Owned,KY,2852,1419,0,0,0,0,0,196,673,133,360,71
558,LENOIR CITY UTILITIES BOARD,11376,Municipal Owned,TN,6551,0,0,721,627,96,510,2026,1434,303,699,135
559,LENOX MUNICIPAL GAS SYSTEM,11384,Municipal Owned,IA,588,0,0,0,0,532,0,0,0,6,46,4
560,LEONVILLE GAS SYSTEM,11392,Municipal Owned,LA,372,0,0,0,0,0,0,0,354,0,14,4
561,LEWISPORT NATURAL GAS SYSTEM,11410,Municipal Owned,KY,1275,0,0,0,0,500,112,250,200,110,83,20
562,LEWISBURG GAS DEPARTMENT,11416,Municipal Owned,TN,3761,0,0,0,0,0,73,965,1675,643,389,16
563,LEXINGTON GAS SYSTEM,11448,Municipal Owned,TN,10285,0,0,0,800,523,625,2582,3176,1843,673,63
564,"LEXINGTON GAS DEPT, CITY OF",11456,Municipal Owned,NC,11591,0,0,0,1032,2705,411,642,3066,1605,1993,137
565,LIBERAL MUNICIPAL GAS SYSTEM,11468,Municipal Owned,MO,319,0,0,0,0,0,284,2,15,9,9,0
566,"LIBERTY GAS SYSTEM, CITY OF",11472,Municipal Owned,KY,650,0,0,0,550,98,0,0,0,2,0,0
567,"LIBERTY MUNICIPLE SYSTEM, TOWN OF",11480,Municipal Owned,MS,351,349,0,0,0,0,0,0,0,0,0,2
568,"LINDEN NATURAL GAS SYSTEM, TOWN OF",11520,Municipal Owned,TN,1454,0,0,0,0,275,100,113,112,570,258,26
569,LINEVILLE NATURAL GAS SYSTEM,11529,Municipal Owned,IA,155,0,0,0,0,121,0,7,9,9,9,0
570,LINTON MUNICIPAL GAS,11536,Municipal Owned,IN,2520,0,0,0,0,0,0,1934,352,105,123,6
571,"LITTLE RIVER MUNICIPAL SYSTEM, CITY OF",11560,Municipal Owned,KS,317,2,0,0,0,250,46,0,0,8,11,0
572,"LIVE OAK GAS DEPT, CITY OF",11576,Municipal Owned,FL,1458,0,0,0,0,1186,116,116,0,0,40,0
573,"LIVINGSTON UTILITIES BOARD, CITY OF",11595,Municipal Owned,AL,605,0,0,0,65,49,65,97,195,115,19,0
574,LIVINGSTON GAS DEPARTMENT,11600,Municipal Owned,TN,1840,487,0,0,0,0,0,0,1025,170,147,11
575,"LIVINGSTON, TOWN OF",11604,Municipal Owned,LA,863,0,0,0,0,0,493,41,8,45,265,11
576,"LIVONIA, VILLAGE OF",11606,Municipal Owned,LA,424,348,0,0,0,0,0,0,0,38,34,4
577,LOBELVILLE GAS CO,11624,Municipal Owned,TN,345,322,0,0,0,0,0,0,0,0,22,1
578,LOGAN TOWNSHIP GAS USERS ASSOC INC,11652,Cooperative,AR,79,0,0,0,0,0,0,0,0,0,79,0
579,"LOGANSPORT GAS DEPT, TOWN OF",11656,Municipal Owned,LA,665,0,0,0,0,103,384,0,0,0,0,178
580,"LONG BEACH GAS DEPT, CITY OF",11712,Municipal Owned,CA,87182,0,944,3607,15912,17169,8687,8081,6015,13690,12762,315
581,KEYSPAN ENERGY DELIVERY - LONG ISLAND,11713,Investor Owned,NY,578115,0,20316,7528,14376,44904,42083,48853,120396,119073,151990,8596
582,"LORDSBURG, CITY OF",11744,Municipal Owned,NM,1336,0,0,0,0,0,0,0,0,929,407,0
583,"LORETTO GAS SYSTEM, CITY OF",11752,Municipal Owned,TN,752,0,0,0,0,200,105,197,180,57,11,2
584,LORIMOR MUNICIPAL GAS SYSTEM,11760,Municipal Owned,IA,216,0,0,0,0,0,179,2,27,4,4,0
585,LOS ALAMOS COUNTY UTILITIES,11768,Municipal Owned,NM,8094,0,0,0,0,2988,160,105,3731,897,181,32
586,LOUDON UTILITIES GAS DEPT,11776,Municipal Owned,TN,5031,0,0,0,1146,0,0,283,1733,1372,399,98
587,"LOUISBURG NATURAL GAS UTILITIES, CITY OF",11784,Municipal Owned,KS,1578,0,0,0,0,0,592,68,94,646,163,15
588,ATMOS ENERGY CORPORATION - LOUISIANA,11800,Privately Owned,LA,414577,55,0,153,31223,6716,112079,81392,61355,63757,52101,5746
589,LOUISVILLE GAS & ELECTRIC CO,11824,Investor Owned,IN,10,0,0,0,0,0,0,0,0,6,4,0
590,LOUISVILLE GAS & ELECTRIC CO,11824,Investor Owned,KY,299575,154,105,56,18799,35941,22683,21243,73090,84272,39898,3334
591,"LOUISVILLE GAS & WATER, CITY OF",11832,Municipal Owned,GA,1301,0,0,0,611,411,12,79,138,29,19,2
592,"LOUISVILLE GAS SYSTEM, VILLAGE OF",11840,Municipal Owned,IL,596,0,0,0,0,447,27,57,15,16,30,4
593,"LUMPKIN GAS DEPT, CITY OF",11896,Municipal Owned,GA,310,0,0,0,0,192,4,11,26,12,58,7
594,"LYONS GAS DEPT, CITY OF",11944,Municipal Owned,KS,1757,0,0,0,0,0,0,0,0,1744,7,6
595,"LYONS GAS SYSTEM, CITY OF",11952,Municipal Owned,NE,491,0,0,0,0,0,0,0,448,21,22,0
596,LYTLE MUNICIPAL SYSTEM,11960,Municipal Owned,TX,609,0,0,0,213,58,212,53,9,24,39,1
597,"MACON GAS DEPT MUNICIPAL UTILITIES, CITY OF",12006,Municipal Owned,MO,2358,85,0,0,14,111,69,433,1035,299,290,22
598,"MADISON GAS DEPT, CITY OF",12012,Municipal Owned,MO,269,0,0,0,0,186,13,5,37,17,11,0
599,MADISON GAS & ELECTRIC CO,12018,Investor Owned,WI,127812,0,909,208,2323,10928,24867,23615,21393,21678,20222,1669
600,"MADISON GAS SYSTEM, CITY OF",12024,Municipal Owned,GA,2167,0,0,0,0,576,267,213,341,418,248,104
601,"MADISON, CITY OF",12030,Municipal Owned,FL,855,607,0,0,0,0,0,0,158,54,34,2
602,MADISONVILLE GAS SYSTEM,12036,Municipal Owned,LA,5399,0,0,0,629,0,16,0,217,1700,2616,221
603,MADISONVILLE GAS SYSTEM,12042,Municipal Owned,TN,1376,0,0,0,100,283,283,283,283,31,99,14
604,MANILLA MUNICIPAL GAS DEPT,12090,Municipal Owned,IA,405,0,0,0,0,366,12,6,0,21,0,0
605,"MANNFORD MUNICIPAL SYSTEM, TOWN OF",12096,Municipal Owned,OK,1325,0,0,0,18,199,368,187,190,51,175,137
606,MANNING NATURAL GAS DEPT,12102,Municipal Owned,IA,1015,0,0,0,0,557,52,48,255,26,58,19
607,MAPLESVILLE GAS SYSTEM,12120,Municipal Owned,AL,883,0,0,0,234,100,50,50,308,96,45,0
608,"MARIANNA, CITY OF",12150,Municipal Owned,FL,1422,0,0,0,1045,0,0,0,209,79,71,18
609,MARINGOUIN GAS SYSTEM,12162,Municipal Owned,LA,653,607,0,0,0,0,0,0,0,0,42,4
610,MARION NATURAL GAS SYSTEM,12168,Municipal Owned,TN,2154,985,0,0,0,0,64,240,752,6,106,1
611,MARKHAM GAS CORP,12174,Privately Owned,TX,248,0,0,0,0,0,0,0,0,0,0,248
612,MARSHALL COUNTY GAS DISTRICT,12180,Municipal Owned,AL,26825,9010,0,0,0,0,0,3494,7515,2616,3780,410
613,"MARSHALL GAS DEPT, CITY OF",12186,Municipal Owned,IL,2235,0,0,0,0,1069,280,274,377,103,113,19
614,"MARTIN, CITY OF",12204,Municipal Owned,TN,2625,0,0,0,677,495,232,26,699,342,141,13
615,MARTIN GAS INC,12208,Privately Owned,KY,572,0,0,0,0,0,0,421,76,27,0,48
616,"MARTINSVILLE GAS DEPT, CITY OF",12216,Municipal Owned,IL,581,0,0,0,0,500,11,28,15,19,8,0
617,MASON MUNICIPLE GAS SYSTEM,12222,Municipal Owned,TN,541,0,0,0,0,91,30,30,40,298,52,0
618,MAURY CITY MUNICIPAL GAS SYSTEM,12234,Municipal Owned,TN,895,0,0,0,0,392,50,57,350,21,24,1
619,MCFARLAND MUNICIPAL SYSTEMS INC,12276,Municipal Owned,KS,143,0,0,0,83,0,27,17,1,10,5,0
620,"MCLEANSBORO GAS SYSTEM, CITY OF",12294,Municipal Owned,IL,1918,0,0,0,1407,71,0,292,69,41,35,3
621,"MC LOUTH MUNICIPAL SYSTEM, CITY OF",12306,Municipal Owned,KS,410,0,0,0,0,0,0,9,337,28,36,0
622,"MELVILLE, TOWN OF",12330,Municipal Owned,LA,485,0,0,0,0,0,0,0,480,5,0,0
623,MEMPHIS LIGHT GAS & WATER DIVISION,12342,Municipal Owned,TN,312657,0,20651,29502,39827,48678,59003,35402,44253,29031,5864,446
624,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",12350,Investor Owned,MN,781161,0,42,539,6774,29700,104539,134496,164226,176769,149340,14736
625,MERCER MUNICIPAL NATURAL GAS SYSTEM,12372,Municipal Owned,MO,153,0,0,0,0,103,25,9,1,8,5,2
626,"MESA MUNICIPAL SYSTEM, CITY OF",12378,Municipal Owned,AZ,71624,0,63,469,2326,4832,4143,3209,12713,26819,14913,2137
627,METCALFE MUNICIPAL GAS,12383,Municipal Owned,MS,475,475,0,0,0,0,0,0,0,0,0,0
628,METROPOLITAN UTILITIES DISTRICT,12390,Municipal Owned,NE,210886,3997,3314,1084,10854,18439,22466,19250,29147,39942,56331,6062
629,DTE GAS COMPANY,12408,Investor Owned,MI,1223698,20737,12072,29931,110479,116055,168811,114163,195794,148005,262558,45093
630,MICHIGAN GAS UTILITIES CO,12420,Investor Owned,MI,175964,0,0,0,0,29154,30870,27376,39241,28218,18890,2215
631,MIDDLE TENNESSEE NATURAL GAS UTIL DIST,12438,Municipal Owned,TN,76986,0,0,0,124,416,1390,10625,32947,17836,13648,0
632,MIDDLEBOROUGH GAS & ELECTRIC DEPT,12444,Municipal Owned,MA,4891,83,0,5,20,133,264,508,961,1891,1013,13
633,MIDDLETOWN CITY NATURAL GAS SYSTEM,12450,Municipal Owned,MO,143,0,0,0,0,98,19,8,12,4,1,1
634,MIDWEST ENERGY INC,12479,Cooperative,KS,40440,20,0,2182,5069,9835,8467,3603,4853,2183,4050,178
635,MIDWEST NATURAL GAS CORP,12486,Investor Owned,IN,18030,0,0,0,1081,5432,1690,3481,3810,986,1338,212
636,MIDWEST NATURAL GAS INC,12492,Privately Owned,WI,18301,0,0,0,0,1774,915,1319,6256,3885,3690,462
637,MILAN MUNICIPAL NATURAL GAS SYSTEM,12504,Municipal Owned,MO,903,0,0,0,0,670,132,17,7,38,32,7
638,"MILFORD GAS SYSTEMS, VILLAGE OF",12510,Municipal Owned,IL,953,0,0,0,0,917,0,0,13,7,16,0
639,"MILLEN NATURAL GAS SYSTEM, CITY OF",12522,Municipal Owned,GA,1161,0,0,0,28,219,250,339,224,86,15,0
640,"MILTON, CITY OF",12540,Municipal Owned,FL,5582,3942,0,0,0,0,0,0,0,1123,398,119
641,MINCO GAS AUTH,12546,Municipal Owned,OK,684,0,0,0,0,636,0,0,0,31,14,3
642,ATMOS ENERGY CORPORATION - MISSISSIPPI,12582,Investor Owned,MS,304531,0,773,6070,30929,31149,46237,35405,41231,54718,52389,5630
643,THE EMPIRE DISTRICT GAS COMPANY,12606,Investor Owned,MO,49617,0,0,144,2210,6392,2722,13474,16920,3477,3889,389
644,SPIRE GULF INC.,12642,Investor Owned,AL,102680,0,151,459,3646,6388,12856,15571,31555,16244,13137,2673
645,MONROE CITY MUNICIPAL GAS SYSTEMS,12666,Municipal Owned,MO,1314,0,0,0,0,837,142,86,111,58,70,10
646,"MONROE NATURAL GAS DEPT, CITY OF",12672,Municipal Owned,NC,12617,0,0,0,48,311,1444,1867,3125,3343,2225,254
647,MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,MT,85346,13357,114,104,1467,7453,13723,10476,10812,11874,15186,780
648,MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,ND,114405,9382,34,11,6870,8940,23452,13771,13025,13340,24387,1193
649,MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,ND,358,187,0,0,0,0,0,0,48,103,20,0
650,MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,SD,63100,2405,17,52,3317,3513,7231,6399,15623,12376,11119,1048
651,MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,WY,19867,2254,3,101,521,1922,2812,2230,2192,3991,3670,171
652,MUNFORD GAS DEPT,12697,Municipal Owned,TN,7606,0,0,0,471,162,211,822,2799,2450,588,103
653,MONTEZUMA NATURAL GAS DEPT,12732,Municipal Owned,IA,861,0,0,0,0,257,185,147,145,47,74,6
654,MONTEZUMA MUNICIPAL GAS UTILITIES DEPT,12738,Municipal Owned,IN,435,0,0,0,0,0,0,0,425,5,5,0
655,"MONTGOMERY, CITY OF",12744,Municipal Owned,MO,996,0,0,0,754,12,6,82,83,38,17,4
656,"MONTGOMERY, TOWN OF",12750,Municipal Owned,LA,560,560,0,0,0,0,0,0,0,0,0,0
657,MONTICELLO GAS SYSTEM,12756,Municipal Owned,GA,1418,0,0,0,0,459,24,180,351,285,114,5
658,MONTPELIER GAS SYSTEM,12758,Municipal Owned,LA,160,0,0,0,0,61,41,13,22,10,12,1
